player_lower,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,Player,Team,Role,YR,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,DunkAtt,Dunk_Freq,Dunk_FG%,First_Season,Last_Season
antwone woolfolk,22,9,6,0,2,0,1,4,1,5,0,2,Antwone Woolfolk,Miami OH,F,Sr,17,9,26,0.6538461538461539,0.23529411764705882,31,0.7096774193548387,0.2727272727272727,2,0.0,,33,0.6666666666666666,0.2727272727272727,5,0.2,1.0,0.30434782608695654,38,0.8157894736842105,0.05263157894736842,0.13157894736842105,0.868421052631579,5,0.13157894736842105,1.0,2026,2026
ariel bland,7,6,4,2,1,1,0,0,0,1,0,1,Ariel Bland,Bethune Cookman,F,Sr,6,6,12,0.5,0.5,13,0.5384615384615384,0.5714285714285714,3,0.6666666666666666,0.5,16,0.5625,0.5555555555555556,0,,,0.5555555555555556,16,0.8125,0.1875,0.0,1.0,1,0.0625,1.0,2026,2026
arlandus keyes,3,6,0,1,4,0,19,26,14,0,0,0,Arlandus Keyes,Mount St. Mary's,G,Sr,3,6,9,0.3333333333333333,0.0,9,0.3333333333333333,0.0,5,0.2,0.0,14,0.2857142857142857,0.0,45,0.4222222222222222,0.7368421052631579,0.6086956521739131,59,0.15254237288135594,0.0847457627118644,0.7627118644067796,0.23728813559322035,0,0.0,,2026,2026
armani mighty,22,3,11,5,11,1,0,0,0,8,0,7,Armani Mighty,Mercer,C,Jr,14,3,17,0.8235294117647058,0.2857142857142857,25,0.88,0.5,16,0.3125,0.2,41,0.6585365853658537,0.4444444444444444,0,,,0.4444444444444444,41,0.6097560975609756,0.3902439024390244,0.0,1.0,8,0.1951219512195122,1.0,2026,2026
armelo boone,12,11,5,6,8,1,3,11,3,7,3,4,Armelo Boone,Western Kentucky,G,Fr,5,8,13,0.38461538461538464,0.2,23,0.5217391304347826,0.4166666666666667,14,0.42857142857142855,0.16666666666666666,37,0.4864864864864865,0.3333333333333333,14,0.21428571428571427,1.0,0.42857142857142855,51,0.45098039215686275,0.27450980392156865,0.27450980392156865,0.7254901960784313,10,0.19607843137254902,0.7,2026,2026
arrinten page,31,5,20,5,12,3,4,9,4,17,0,12,Arrinten Page,Northwestern,F,Jr,14,5,19,0.7368421052631579,0.5714285714285714,36,0.8611111111111112,0.6451612903225806,17,0.29411764705882354,0.6,53,0.6792452830188679,0.6388888888888888,13,0.3076923076923077,1.0,0.675,66,0.5454545454545454,0.25757575757575757,0.19696969696969696,0.803030303030303,17,0.25757575757575757,1.0,2026,2026
ashton hardaway,7,2,5,3,7,0,7,14,6,0,0,0,Ashton Hardaway,Memphis,F,Jr,7,2,9,0.7777777777777778,0.7142857142857143,9,0.7777777777777778,0.7142857142857143,10,0.3,0.0,19,0.5263157894736842,0.5,21,0.3333333333333333,0.8571428571428571,0.6470588235294118,40,0.225,0.25,0.525,0.475,0,0.0,,2026,2026
assane mandian,2,2,1,1,2,1,7,8,5,0,0,0,Assane Mandian,UNC Greensboro,G,Fr,2,2,4,0.5,0.5,4,0.5,0.5,3,0.3333333333333333,1.0,7,0.42857142857142855,0.6666666666666666,15,0.4666666666666667,0.7142857142857143,0.7,22,0.18181818181818182,0.13636363636363635,0.6818181818181818,0.3181818181818182,0,0.0,,2026,2026
augustinas kiudulas,5,2,3,1,3,1,1,2,1,0,0,0,Augustinas Kiudulas,Colorado St.,F,Jr,5,2,7,0.7142857142857143,0.6,7,0.7142857142857143,0.6,4,0.25,1.0,11,0.5454545454545454,0.6666666666666666,3,0.3333333333333333,1.0,0.7142857142857143,14,0.5,0.2857142857142857,0.21428571428571427,0.7857142857142857,0,0.0,,2026,2026
austin benigni,19,25,1,8,26,0,6,10,3,0,0,0,Austin Benigni,Navy,G,Sr,19,25,44,0.4318181818181818,0.05263157894736842,44,0.4318181818181818,0.05263157894736842,34,0.23529411764705882,0.0,78,0.34615384615384615,0.037037037037037035,16,0.375,0.5,0.12121212121212122,94,0.46808510638297873,0.3617021276595745,0.1702127659574468,0.8297872340425532,0,0.0,,2026,2026
