YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
Sr,6-7,Tyler Nickel,Vanderbilt,SEC,12,G,72.7,4.7,3.4,10.3,9.1,1.2,142,99.6,16,71,72.1,3.3,9.4,7.2,8.6,1.8,2.7,1.8,15.1,1.9,0.846,0.833,0.68,79,14.4,0.479
Sr,6-3,Jalen Quinn,Drake,MVC,10,G,85.3,4.7,2.8,4.5,4.6,-0.2,119.1,109.3,28.3,51.8,59.7,2.6,11.2,20.3,11.5,2.1,0.3,2.1,55.1,2.7,0.55,0.853,0.5,25,5.8,0.382
Sr,6-9,Graham Ike,Gonzaga,WCC,11,C,61.6,4.7,4.7,11.2,7,4.2,126.8,82.8,26,53.8,59,8,22.8,16.5,9.7,2.3,2.9,1.3,44.3,4.1,0.567,0.793,0.536,14.5,3.4,0.368
Jr,6-4,PJ Haggerty,Kansas St.,B12,12,G,81,4.7,3.2,3.7,4.3,-0.6,113.2,104.3,32.7,56.1,59.9,4.1,12.4,26.3,19.6,1.2,0.3,1.5,47.1,2.9,0.681,0.727,0.551,21.4,5.6,0.4
Sr,6-10,Rienk Mast,Nebraska,B10,11,F,72.2,4.6,3.8,9.3,8,1.3,124.4,95.3,27.3,62.3,64.8,9.6,14.6,20,14.4,1.5,0.8,1.2,28.4,2,0.829,0.789,0.613,40.3,9.6,0.426
Jr,6-3,Terrence Brown,Utah,B12,12,G,78.5,4.6,2.5,4.2,4.5,-0.3,118.3,109.9,31,50,56.8,0.9,5.9,25.5,9.5,2.3,0.2,3.3,56.4,2.2,0.598,0.782,0.508,26.3,6.9,0.319
So,6-8,DeSean Goode,Robert Morris,Horz,12,C,75.6,4.6,2.6,4.9,6.1,-1.2,139.6,108.5,19,67.6,70.6,13.1,20.3,4.4,11.2,0.9,1.2,1.1,43.5,3.6,0.687,0.809,0.618,17.6,3.1,0.632
Sr,6-3,Jaden Bradley,Arizona,B12,11,G,70.2,4.6,4.5,11.4,5.5,5.9,133.6,86.3,20.2,57.5,64.9,2.3,11.7,22.3,14.2,2.8,0,3.6,69,2.8,0.594,0.833,0.535,18.4,2.9,0.5
So,6-9,Kyle Jorgensen,Colorado St.,MWC,11,F,62.9,4.6,2.1,9.1,7.8,1.3,142.1,108.2,22.6,73.8,76.8,7.4,18.7,19.8,15.9,1.7,2.3,1.6,50,4,0.676,0.85,0.729,40,7.2,0.5
Sr,6-6,Quadir Copeland,N.C. State,ACC,13,G,64.8,4.6,3.1,9.7,6.4,3.3,128.3,98.1,26,65.8,69.1,2.4,12.6,38.4,20.2,2.3,0.4,2.8,65.3,4.6,0.661,0.758,0.61,23.8,3.9,0.542
Sr,6-9,Trey Kaufman-Renn,Purdue,B10,10,C,55.9,4.6,3.9,7.6,6,1.6,128,90.7,24.6,60.1,61,19.7,23.4,14.8,14.6,1.4,0.9,1.3,20.2,3.6,0.675,0.667,0.604,2.9,0.7,0.333
Jr,6-0,Markus Burton,Notre Dame,ACC,10,G,62.1,4.6,3.6,8,5.3,2.8,116.7,98.2,30.8,53,59.4,2.5,8.4,26.7,16.8,1.4,0.4,3.2,36.1,3.9,0.627,0.917,0.557,27.1,7.2,0.306
Jr,6-5,Rodney Rice,USC,B10,6,G,41.2,4.6,3.3,5.3,5.5,-0.2,117.3,103.2,28.5,48.9,53.7,1.9,8.8,35.1,10.3,3.3,0.5,1.9,41.1,2,0.5,0.744,0.429,41.1,10.4,0.385
So,6-9,Gus Yalden,Vermont,AE,11,C,49.1,4.6,1.3,9,11,-2,125.4,115.4,36,63.8,65.2,13.7,13.4,20.8,11.3,1.1,2.1,0.8,31.5,4.8,0.738,0.707,0.648,30,9.9,0.41
