YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
Sr,6-5,Joseph Pinion,South Florida,Amer,11,G,70.5,2.4,2.9,4.5,3.5,0.9,115.9,103.1,19.9,52.7,55.1,5.2,6.3,8.1,13.4,0.9,1.1,3.7,20,4.2,0.37,0.769,0.394,74.6,16.2,0.381
Jr,6-10,Carter Welling,Clemson,ACC,12,F,49.3,2.4,2.9,8.1,4.8,3.3,117.8,90.6,25.1,57.8,60.4,10.1,20.8,11.7,14.8,0.9,4.2,2.7,70.1,3.5,0.682,0.648,0.596,26,5,0.35
Sr,6-5,Chandler Pigge,Harvard,Ivy,11,G,83.2,2.4,2.5,0.8,1.6,-0.8,107.9,111.4,24.7,49.2,52.3,5.1,8.9,21.9,13.6,2.1,1.4,2.7,24.6,1.6,0.527,0.75,0.484,26.9,5.9,0.343
Sr,6-9,Malik Dia,Mississippi,SEC,12,C,62,2.4,3,0.5,1.6,-1,103.1,98.3,31.5,48.2,52.7,9.9,21.4,8.6,14.5,0.5,4.6,1.2,47.8,3.5,0.673,0.692,0.495,18.4,5,0.28
Fr,6-7,Braden Frager,Nebraska,B10,11,F,53.6,2.4,2.7,4.9,3.9,1,121.3,96,20.5,61.7,64.7,6,14.1,6.7,12.9,0.8,1.1,1,28.4,2.5,0.846,0.826,0.719,60.5,11.8,0.367
Jr,6-9,Avantae Parker,Queens,ASun,11,C,49.8,2.4,1.2,2.2,2,0.2,122.4,115.8,23.3,72.5,71.6,8.4,15.8,13.4,20.9,0.7,4.8,2.5,53.6,7,0.782,0.649,0.746,8.7,1.5,0.333
So,6-0,Sharron Young,Akron,MAC,11,G,49.2,2.4,1.6,2.4,2.8,-0.3,130.8,108.9,18.3,54.5,59.5,4.6,11.1,16,11,2.8,0.5,2.3,29.9,4.6,0.706,0.9,0.56,62.7,10.6,0.357
Sr,6-4,Trent Mosquera,Le Moyne,NEC,11,G,80.4,2.4,1.7,2.2,3.9,-1.6,111.7,117.5,22,58.8,61.9,2.1,17.3,16,18.4,1.2,1.5,2.6,27.5,3.2,0.538,0.818,0.429,65,12.6,0.449
Jr,6-4,Tru Washington,Miami FL,ACC,11,G,67,2.4,4.3,6.4,2.5,3.9,115.3,90,20.1,58.6,60.9,4.4,11.7,10.2,18.6,1,0,4.8,30,2.5,0.615,0.727,0.575,33.6,6.3,0.405
So,6-11,Somto Cyril,Georgia,SEC,11,C,47.8,2.4,2.8,6.7,2.7,4,132.2,90.8,17.3,80.4,74.6,13.2,15.7,3.6,16.6,0.4,11.7,1.7,74.5,7.2,0.837,0.553,0.804,0,0,0
Jr,6-5,Jaden Schutt,Virginia Tech,ACC,13,G,60.1,2.4,2.2,2.9,3.3,-0.4,126.4,106.9,16,61.1,62.4,0.7,5.9,6.4,7.9,1.7,0,1.4,13.5,3,0.667,0.786,0.423,75,14,0.449
Sr,6-0,Jamison Guerra,Idaho St.,BSky,9,G,64.6,2.4,2.3,1,0.5,0.5,118.3,106.9,19.5,49,57.1,3.4,8.5,29.8,20.2,2.7,0.5,2.6,51.9,4,0.478,0.852,0.469,38.5,5.2,0.35
Fr,6-5,Melih Tunca,Penn St.,B10,12,G,64.9,2.4,1.9,2.3,3.3,-1,115.5,112.1,22,56,60.2,2.3,10.5,20.5,17.1,1.8,1.6,1.9,45.1,1.5,0.69,0.756,0.524,30.8,5.3,0.429
Jr,6-8,Evan Chatman,UAB,Amer,11,C,70.5,2.4,3,2.9,2.6,0.3,128.4,101.8,13.7,53.2,57.6,9.4,27.7,5.5,7.9,1.8,2.6,1.3,61.9,3,0.762,0.692,0.667,52.4,5.9,0.273
Jr,6-1,Zaon Collins,Fresno St.,MWC,11,G,84.1,2.4,3.6,2.3,1,1.3,104.4,102.3,26,52.8,56.1,2.2,9.8,31.4,22.8,1.5,0,3.9,39.7,2.4,0.524,0.7,0.543,27,5.2,0.324
Sr,6-5,Devin Askew,Villanova,BE,11,G,53.5,2.4,2.5,5.8,3.6,2.2,123.8,98.6,19.4,57.9,59.2,3.8,7.5,16.2,14.6,1.9,1,3.3,8.5,3.2,0.667,0.857,0.516,62.2,13.1,0.412
Jr,6-11,Bangot Dak,Colorado,B12,12,C,63,2.4,2.7,4.1,3,1.1,115.1,101.8,22.2,51,54.9,8.7,22.9,14.6,13.4,1.6,6.8,1.3,36.9,2.2,0.629,0.737,0.558,16.5,3.2,0.176
Sr,6-7,J.R. Konieczny,Florida Gulf Coast,ASun,11,G,79.6,2.4,2.5,1.4,2.2,-0.9,107.7,110.3,24.8,52.8,56.8,5.8,17.7,9.4,18.2,0.8,0.7,3.4,35.5,2.8,0.576,0.76,0.495,34,7.5,0.396
So,7-1,Amael L'Etang,Dayton,A10,13,C,63.9,2.4,3.1,3.7,3,0.8,111.8,98.4,24.1,56.3,60.9,8.2,21.2,12.5,18,0.8,5.3,0.8,49.5,3.3,0.679,0.764,0.58,37.8,7,0.357
So,6-4,Evan Haywood,Butler,BE,12,G,42.9,2.4,1.7,5.4,4.9,0.4,136.4,104.3,16.1,58.3,59.8,2.1,7.3,10.2,3.3,6,0.4,1.3,12.8,3,0.412,0.8,0.4,74.4,15.3,0.431
Jr,6-5,Jackson Hicke,Princeton,Ivy,12,G,83.2,2.4,2.7,1.8,1.7,0,110.7,109.4,21.5,57.7,59.1,3.5,14.1,19.6,15.7,1.3,1,1.5,19.9,3.5,0.682,0.704,0.553,37.5,7.5,0.412
Jr,6-11,Drayton Jones,Butler,BE,12,C,51,2.4,2.6,7.7,3.9,3.8,130.5,96.7,15.7,58.8,63.6,10.1,18.5,13.4,14.1,2,6.5,1.1,68.6,2.2,0.667,0.743,0.588,0,0,0
Fr,6-7,DJ Hall,Texas St.,SB,12,C,70.5,2.4,2.6,3.5,3,0.5,113.8,106,22.2,52.9,58.8,10,21.2,17.4,18.7,1.2,1.7,2.4,42.2,2.3,0.61,0.837,0.54,2,0.3,0
Fr,7-1,Eric Reibe,Connecticut,BE,12,C,46.7,2.4,3,8.5,4.2,4.4,125.3,86.1,18.1,67.6,66.6,8.4,20,3.4,11.7,0.5,9.3,0.8,25.4,4.6,0.745,0.556,0.689,14.1,2.6,0.4
Sr,6-2,Nate Calmese,Wake Forest,ACC,13,G,60.4,2.4,2.8,5,3,1.9,118.2,99.9,19.7,52.7,55.6,2.2,7.3,36.3,19.5,3,0.8,3.5,14.9,2.7,0.526,0.929,0.5,42.6,7,0.375
Jr,6-8,Jaylen Carey,Tennessee,SEC,11,C,43.9,2.4,2.6,9,7.2,1.8,118.7,89.6,25.1,56.9,55.6,20.9,21.1,19.3,14.3,1.6,0,2.1,41.7,3.5,0.661,0.467,0.586,2.8,0.6,0
Sr,6-8,Landon Seaman,Cal St. Fullerton,BW,10,F,55.3,2.4,1.5,2.6,4.2,-1.5,116.2,113.8,24.1,59.2,59.9,6.8,12.7,8.5,9.6,1.1,1.1,1.2,31.6,3.1,0.597,0.613,0.598,16.3,3.7,0.375
Sr,6-7,Jalen Hampton,Arkansas St.,SB,11,F,53,2.4,2.2,4.9,3.5,1.4,129.7,105.8,14.2,66,69,8.2,22.9,13.6,19.4,1.5,2.4,2.3,34,3.1,0.644,0.833,0.644,15.1,1.7,0.5
Sr,6-8,Jackson Munro,Dartmouth,Ivy,10,C,65,2.4,1.9,3,2.8,0.2,129.4,111.8,15.2,55.8,59.6,9.1,15.8,18.4,11.5,2.6,4.8,0,25,2.5,0.636,0.867,0.63,55,7.3,0.333
Jr,5-11,Marcus Millender,Georgia,SEC,11,G,52.6,2.4,2.6,4.3,3.7,0.6,119.9,97.4,22.4,54,58.3,2.9,9.1,28.7,20.5,2.1,0,3.1,19.3,2.2,0.64,1,0.564,55.7,10.7,0.347
Sr,6-9,Brenen Lorient,West Virginia,B12,12,C,67.6,2.4,4,7.2,2.8,4.4,117.9,90.6,19.9,58.4,60.5,7.7,17.6,15.6,16.5,1.3,7.9,1.7,29.5,3.7,0.66,0.714,0.6,26.3,4.5,0.36
Jr,6-8,Eric Dailey Jr.,UCLA,B10,11,F,61.9,2.4,3.1,4.3,3.2,1,113.9,100.1,19.2,55.4,58.6,5.2,18.6,11.9,16.6,1.3,1.3,1.4,36.1,2.7,0.692,0.733,0.571,41,6.8,0.353
Jr,6-6,Jahmere Tripp,Rhode Island,A10,12,G,59.2,2.4,3,4.4,2.2,2.2,113.8,96.6,26.4,52.9,58.9,7.8,13.6,16.6,18.9,0.9,1.3,4,45.1,5.2,0.508,0.826,0.493,34.3,7.3,0.4
Sr,6-9,Sam Towns,Bowling Green,MAC,10,F,76.8,2.4,4.1,2.7,2.1,0.6,112.2,94.2,22,49.5,54.1,10,20.5,8.1,12.5,1.1,1.8,2,33.9,3.3,0.492,0.784,0.48,31.2,6.2,0.353
Jr,6-9,Caleb Walker,Air Force,MWC,12,C,56.8,2.4,1.8,2.7,3.3,-0.6,117.5,109.9,23.4,71.6,68.1,10.2,16,11.6,16.8,0.6,3.6,1.5,64.2,3.1,0.8,0.538,0.716,0,0,0
Sr,6-4,Takai Simpkins,Oregon,B10,11,G,76.1,2.4,2.8,3.6,3,0.6,111.8,106.1,18.7,59.7,62,2,6.5,14.9,23.6,1,1.3,1.9,28.6,2.2,0.44,0.75,0.545,66.3,11,0.415
Sr,6-7,Rickey Ballard,Grambling St.,SWAC,10,G,45.2,2.4,1.5,5.1,3.3,1.8,143.8,108.7,12.5,81.3,81,3.6,8.9,5.9,12.8,1,2.5,3.2,65.6,5.5,0.778,0.762,0.8,68.8,7,0.545
So,6-8,Brant Byers,Miami OH,MAC,10,F,73,2.4,2.2,0.9,2.8,-1.9,117.1,110.6,20.3,60.6,63.4,2.2,13.7,2.9,11.3,0.5,0.8,1.1,39.4,2.4,0.594,0.744,0.568,62.6,11.8,0.419
Sr,6-7,David Green,Tulsa,Amer,10,F,60.4,2.4,2.3,1.4,2.1,-0.7,109.2,105.4,26.8,49.5,52.4,6.8,16.6,13.4,11.6,1.1,3.4,2.4,38.5,3.6,0.543,0.65,0.542,53.8,13.4,0.304
So,6-2,Je'Shawn Stevenson,North Texas,Amer,11,G,81.5,2.4,3.3,2.3,2.6,-0.3,105.8,103.5,26.2,43.2,51.2,3.7,7.7,14.5,12.3,1.2,0.7,2.2,48.2,1.5,0.533,0.821,0.429,59.7,14,0.289
Sr,6-6,Anthony Dell'Orso,Arizona,B12,11,G,59.5,2.4,3.5,6,3.5,2.4,114.6,90.7,20.8,53.8,58.3,0.9,7.7,18,21.2,1.4,0.8,2.1,27.5,2.1,0.577,0.88,0.524,53.8,10.3,0.367
Fr,6-4,Trey McKenney,Michigan,B10,10,G,51.2,2.4,3.1,5.6,3.7,1.8,119.2,89.6,19.7,57.7,61.4,3.6,10.5,11.2,16.9,1.2,0,1.3,31,2.7,0.667,0.818,0.579,73.2,13.3,0.385
Jr,6-10,Miles Rubin,Loyola Chicago,A10,13,C,70.8,2.4,1.8,2.7,1.9,0.8,118,114.2,18.8,63.4,63.2,8.3,18.8,11.3,15.9,0.9,10.1,1.3,47.3,2.7,0.718,0.591,0.634,0,0,0
Sr,6-1,Josh Ward,Cal St. Fullerton,BW,10,G,78.4,2.4,2.5,1.9,1.8,0.1,109.9,109.4,21.9,51.3,55.8,2.2,17.9,14.3,11.9,1.6,1.5,2.3,37.3,3.4,0.615,0.773,0.551,41.5,8,0.306
Sr,6-1,Jalen Speer,Marshall,SB,12,G,77,2.4,2.6,0.2,1.6,-1.3,106.2,108.2,25.8,45.8,49.3,0,12,34.2,17.2,2.3,0.3,1.4,17.9,2.7,0.636,0.857,0.417,61.5,14.6,0.323
So,7-4,Daniel Jacobsen,Purdue,B10,12,C,40,2.4,2.6,10.5,4,6.6,126.9,86.8,22,68.9,69.1,12.1,18.9,6.4,17.2,0.6,18,0.6,49.2,4.8,0.769,0.667,0.709,9.8,1.9,0.333
Jr,6-2,K'Jei Parker,Massachusetts,MAC,12,G,53.6,2.4,2.1,4.9,3.7,1.2,123.9,104.4,20.9,61.4,65.6,0.9,7.4,24.8,18.1,1.9,0,2.3,25,4,0.385,0.957,0.528,60.9,11.7,0.446
Sr,6-3,CJ Hardy,Cal St. Bakersfield,BW,11,G,74.4,2.4,1.9,1.5,2.6,-1.1,109.5,114.6,23.8,49,58.5,2.7,14.6,22.8,20.6,1.1,2.3,2.4,60,3.3,0.513,0.873,0.478,36.2,6.4,0.342
Jr,6-9,Stephon Payne III,Seton Hall,BE,12,C,50,2.3,3.4,7.4,3.3,4.1,129.8,84.3,17.5,63.5,62.4,14.9,23.3,6.5,8.4,1.3,10.6,3.5,41.3,5.5,0.655,0.538,0.635,0,0,0
So,6-6,Ramone Seals,Kennesaw St.,CUSA,8,F,51.7,2.3,1.7,3,3.4,-0.4,129.6,109.1,17.9,58,62.9,6,18.7,3.3,10.2,1.2,3.8,0.9,46.4,3.8,0.594,0.808,0.594,42.9,7.3,0.375
So,6-2,Deuce Jones II,Saint Joseph's,A10,9,G,64,2.3,2.7,2.3,2.3,0.1,104.8,105.6,30.7,44.7,52.5,3.7,10.9,27.5,17.6,1.2,0.8,2.7,52.2,3.8,0.511,0.797,0.477,42.5,10.8,0.271
Sr,6-6,Carlos Hart,Eastern Michigan,MAC,11,G,82.5,2.3,2.8,1.2,1.5,-0.3,107.2,108.2,23.5,47.4,53.5,6,12.5,18.9,16.3,1.6,1.1,1.8,51.3,3.1,0.432,0.746,0.417,27,4.9,0.419
Jr,6-1,Makaih Williams,Grand Canyon,MWC,11,G,55.6,2.3,2.7,5.6,3.5,2.1,113.8,98.3,25.2,51.5,56.1,4.8,5.8,21.6,14.9,1.6,0,2.8,35.1,3.9,0.643,0.794,0.565,52.6,11.9,0.314
Fr,6-5,Rashund Washington Jr,Illinois Chicago,MVC,10,F,58.4,2.3,2,4.3,4.3,0,125.1,108,17.8,62.7,64,8.4,16.7,10.4,15.4,0.9,2.2,2.2,29.9,2.6,0.806,0.7,0.75,46.3,7.7,0.323
Jr,6-5,Caleb Foster,Duke,ACC,12,G,63.2,2.3,3.6,4,2,2,117.9,91.6,17.1,55.6,57,2.4,12.3,16.8,15.2,2.3,0.8,0.9,35.8,3,0.429,0.621,0.5,48.1,7.2,0.41
Sr,6-11,Carson Cooper,Michigan St.,B10,12,C,61.9,2.3,4,6.6,1.9,4.7,113.8,86.5,21,53,59,9.3,22,10.5,19,0.9,5.6,1.6,60.2,3.4,0.647,0.76,0.55,3.6,0.6,0
Fr,6-9,Mohammad Habhab,Eastern Michigan,MAC,11,F,85.6,2.3,3.4,2.2,1.4,0.8,105.8,104.4,24,45.4,49.7,6.7,19,18.3,12.2,1.7,2.2,2.1,31.2,2.1,0.5,0.75,0.46,10.6,2.3,0.267
Sr,6-8,Nana Owusu-Anane,Grand Canyon,MWC,11,C,73.6,2.3,4,4.8,2.6,2.2,115.4,93.8,18.7,50,53.2,11.7,25.4,16,14.2,1.8,2.6,1.4,31.1,3,0.581,0.714,0.508,34.4,5.5,0.323
Jr,7-0,Patrick Wessler,UNC Wilmington,CAA,11,C,58,2.3,2.6,1.4,1.8,-0.5,113.9,100.7,25.6,54,57,16.8,22.4,6.8,16.7,0.6,2.4,1.7,52.9,4.2,0.603,0.652,0.54,0,0,0
So,6-9,Grant Randall,Quinnipiac,MAAC,12,F,74.6,2.3,2.8,1.4,1.1,0.3,123.4,105.6,14.1,52.6,55.3,6.2,16.3,2,3.3,0.8,1.9,2.3,28.9,3,0.652,0.714,0.577,46.4,7,0.311
Sr,6-1,Jestin Porter,Clemson,ACC,12,G,55.6,2.3,2.5,4.3,3.8,0.6,116.1,100.2,22.3,47.2,51.1,5.1,5.6,11.8,6.9,2.4,0,2.2,29.9,2.1,0.37,0.75,0.325,62.6,14.8,0.373
Jr,6-10,Isaac Traudt,Creighton,BE,12,F,46.3,2.3,1.9,3.5,4.1,-0.6,132,103.5,15.2,58.1,60.3,4.2,12.8,5.6,1.7,7,0.4,0,20.6,2.9,0.571,0.786,0.5,85.3,15.2,0.397
So,7-1,Bukky Oboye,Santa Clara,WCC,11,C,42.9,2.3,2,4.6,1.8,2.9,127.1,101.9,18.2,74.2,72.4,10.6,14.1,5.7,18.4,0.5,9.9,1.7,36.7,8,0.813,0.591,0.769,13.3,2.2,0.375
Sr,6-6,Trent Johnson,Houston Christian,Slnd,10,G,78.7,2.3,1.3,1.1,3.3,-2.3,126.3,120.7,13.5,62.1,64.1,5.4,10.4,13.6,14.2,2.3,1.6,1,22.6,1.3,0.333,0.786,0.412,72.6,8.7,0.467
Jr,6-3,Anthony Robinson II,Missouri,SEC,12,G,74.6,2.3,3.4,4.1,1.3,2.8,117.7,100.1,18.9,52.7,56.6,3.6,10.7,18.3,18.2,2,2.2,4.1,52.2,4.5,0.656,0.688,0.537,41.3,5.9,0.342
Jr,6-1,Meechie White,Eastern Illinois,OVC,10,G,69.5,2.3,2,0.6,0.5,0.1,110.8,112.3,20.1,58.6,65.2,3.4,11.9,20.1,23.2,1.2,0.4,3.2,59.4,3.7,0.609,0.842,0.571,34.4,4.7,0.409
Sr,6-6,Tristan Smith,Northern Iowa,MVC,10,F,60.3,2.3,3.7,4.5,1.4,3.2,111.5,88.4,26.8,53.9,57.6,9.6,17.5,19.5,14,1.6,4,2,65.8,4.2,0.594,0.66,0.551,9.2,1.7,0.286
Sr,6-8,Terri Miller Jr.,Portland St.,BSky,8,F,75.6,2.3,3.1,3.5,2.6,0.9,105.1,103.6,28.4,57.4,59.5,8.9,12.2,22.1,23.9,1,2.7,1.9,31.6,4.3,0.622,0.7,0.547,32.6,7.2,0.419
Fr,6-0,Quinn Woidke,Kent St.,MAC,10,G,48,2.3,1.3,3.8,4.7,-0.9,131.8,113.4,17.8,64.1,67.2,1.8,14.3,13.8,13.6,1.9,0,0.5,34.4,4.3,0.5,0.818,0.5,84.4,14.5,0.444
Sr,6-3,Tayton Conerway,Indiana,B10,12,G,66.1,2.3,3.8,5.9,2.1,3.8,108.9,91,25.2,56.7,59.9,4.9,9.3,30,24.8,1.5,1.3,3.7,41.2,3.5,0.717,0.725,0.69,40.2,7,0.256
Jr,6-3,AC Bryant,Jacksonville St.,CUSA,8,G,69.9,2.3,2.5,4.8,4.1,0.7,116.1,107.1,19.7,59.3,58.7,3.3,15,6.7,8.2,1.3,0,3,19.8,3,0.5,0.5,0.5,77.8,17,0.413
Sr,6-9,Leonardo Bettiol,Massachusetts,MAC,12,C,70.3,2.3,3.1,2.3,0.9,1.4,107.2,100.9,27.8,56.9,60,9.4,23.4,18.5,21.9,0.8,1.1,1.3,63.7,5.5,0.62,0.671,0.566,1.6,0.3,0.5
Sr,6-6,Caleb Shaw,Grand Canyon,MWC,11,G,52.2,2.3,2.6,6.9,4.5,2.5,124.7,96.9,18.5,70.7,71.3,5.7,15.9,12.1,20.2,0.9,0,2,17.1,3.8,0.733,0.75,0.706,51.4,9,0.472
Sr,6-6,Ziare Wells,Oakland,Horz,12,G,63.8,2.3,1.6,1.6,3.1,-1.5,113.9,114.8,18.3,53.5,56.4,4.3,16,10,9.7,1.7,0.7,1.6,25.3,1.7,0.604,0.76,0.506,18.2,3.2,0.444
Sr,6-5,Ilias Kamardine,Mississippi,SEC,12,G,75.3,2.3,3.3,4,2.5,1.5,107.5,100.8,22.1,53.2,55.7,1.3,11.3,29,20.1,1.9,2.7,2.5,30.3,2.8,0.783,0.697,0.552,38.5,6.9,0.333
Jr,6-6,Mookie Cook,San Francisco,WCC,11,F,64.8,2.3,2.9,6.4,3.5,2.9,112.3,101.1,21.8,58,58.8,7.7,15.2,19.2,19.6,1.1,5.1,2.3,37,4.8,0.526,0.6,0.5,43.2,7.5,0.457
So,6-0,Quel'Ron House,Southern Illinois,MVC,11,G,71.7,2.3,2.7,1.6,0.9,0.8,107.5,105.6,24.3,52.6,55.3,1.5,9.1,18.6,16.3,1.4,0.4,2.8,19.3,3.3,0.633,0.808,0.551,12.6,2.9,0.235
Sr,6-5,Michael Zanoni,Penn,Ivy,10,G,63.8,2.3,1.4,0.5,2.4,-1.9,122.8,116.7,16.8,55.1,58.8,2.5,7.8,4,5.3,1.5,0,0.9,19.3,2,0.75,0.941,0.5,54.5,10.7,0.396
Sr,6-2,Zion Fruster,Eastern Illinois,OVC,8,G,64.7,2.3,1.8,1.5,1.9,-0.4,101,116.4,27.2,46.3,52.7,1.8,12.7,14.6,13.4,0.9,0.5,2.7,33,2.1,0.605,0.889,0.44,22.9,5.7,0.36
Jr,6-4,Christian Bliss,Delaware,CUSA,10,G,96,2.3,3.1,0.4,0.6,-0.3,102.2,109.7,25.3,48.4,52.8,2,15.4,32.6,21.4,1.9,0.9,2.9,26.2,2.1,0.448,0.844,0.383,50.8,9.6,0.387
So,6-4,Wesley Yates III,Washington,B10,11,G,76.3,2.3,3.7,3.5,2.1,1.4,110.5,98.3,21.8,48.4,53.4,3.9,9.8,5.3,13.6,0.6,0.6,3,40.3,2.3,0.553,0.75,0.459,52.7,11.2,0.338
Sr,6-1,Kolby King,Utah St.,MWC,10,G,53.2,2.3,2.8,5.6,4,1.6,128,95.4,15.9,62,66.5,4.1,18.7,10.4,16.9,1.5,0,2.2,46,2,0.75,0.826,0.684,62,8.3,0.387
Sr,6-7,Djahi Binet,Southern Miss,SB,11,C,58,2.3,1.8,2,2.9,-0.8,122,110.6,18.5,61.5,63.7,14.9,17,10.4,17.1,1.1,3,1.1,78.8,3.7,0.667,0.659,0.615,0,0,0
So,6-7,Blake Harper,Creighton,BE,12,F,51.6,2.3,2.6,4,2.2,1.8,114.9,96.1,22.9,50.7,58.4,5.6,20.9,15.8,16.4,1.4,0,1.9,58.7,3.2,0.636,0.818,0.469,34.7,6.1,0.385
Fr,6-7,Stefan Vaaks,Providence,BE,13,G,70.5,2.3,1.9,0.9,2.9,-2,108.3,113.6,23,51,54.2,2.5,5.8,19,16.9,1.6,1.1,2,24.5,2.4,0.64,0.771,0.524,70.6,14.5,0.337
Sr,6-5,Kobe Knox,South Carolina,SEC,11,G,69.7,2.3,2.9,2.2,0.9,1.3,118.6,102.7,17.9,52.1,60.2,4.6,6.6,17.5,16.8,1.9,0.6,1.7,50.7,3.2,0.778,0.889,0.658,46.5,6.2,0.242
Jr,6-4,Simeon Wilcher,Texas,SEC,11,G,53.7,2.3,2.5,5.6,3.7,1.9,121.2,99.6,19.5,55.8,62.3,2.9,10.1,15.4,19.6,1,2.2,2.2,39.1,3.7,0.45,0.926,0.419,55.1,9.1,0.447
So,6-9,Hank Alvey,Lehigh,Pat,11,C,68.4,2.3,2.3,2.3,1.9,0.3,110,108.8,23.4,60.4,60.6,10.2,18.6,19.1,19.7,1,5,1.7,58.5,3,0.6,0.583,0.6,8.5,1.3,0.429
Sr,6-2,Kyle Carlesimo,Colgate,Pat,10,G,61.8,2.3,1.6,1.6,3,-1.4,119.7,113.9,16.6,60.8,61.3,1.5,7.4,8,8.5,1.4,0,1.9,2.5,2.7,0.714,1,0.517,63.3,11.8,0.44
Jr,6-5,Isaac Taveras,Southern Miss,SB,10,G,59.8,2.2,2.8,4.6,2.9,1.7,102.1,102.2,32,56.8,56.5,8.1,19.6,21.3,21.2,0.8,1.4,4.8,28,4.8,0.618,0.514,0.591,12,3.3,0.267
Jr,6-7,Thomas Batties II,Harvard,Ivy,11,F,74.2,2.2,2.1,1.7,2,-0.3,118.2,112.7,17.7,60.7,62.6,5.8,9.6,16.5,18.1,1.7,5,1.1,9.5,2.7,0.517,1,0.438,42.9,6.8,0.556
So,6-4,Roberts Blums,Davidson,A10,10,G,48.4,2.2,1.7,2.6,3.6,-1,120.3,107.6,22.5,56.8,61.1,2,14.1,9.8,9.9,1.2,0,0.6,45.5,3.9,0.8,0.767,0.581,53,11.1,0.371
Jr,6-8,Xavier Edmonds,TCU,B12,11,F,47,2.2,2.6,5.4,2,3.3,119,92.8,22.7,58.7,61.8,11.9,12.9,12.5,15.8,1,3.4,2.7,57.1,6.3,0.611,0.694,0.618,12.7,2.2,0.25
So,6-1,Jahari Williamson,Kent St.,MAC,10,G,52.3,2.2,1.5,2.8,2.7,0,135.6,111.6,13.8,63.1,66.5,1.6,5.8,3.3,7.1,1.5,0,2.7,36.1,3,0.583,0.818,0.5,77,11.6,0.447
So,6-10,Devin Williams,Florida Atlantic,Amer,10,C,55.5,2.2,2.1,5.3,3.2,2,123.2,105.6,16.3,60.8,60.7,9.9,14.6,9,14.2,1.3,14.9,0,15,3.2,0.529,0.556,0.561,31.7,4.9,0.474
So,6-3,Jahvin Carter,Middle Tennessee,CUSA,8,G,69,2.2,2.3,1.8,2.9,-1.1,107.2,109.3,22.5,50.6,52.4,3.3,8.5,19,13.8,2.4,0,1.3,16.3,2.4,0.55,0.714,0.522,46.5,10.4,0.325
Sr,6-1,Myles Corey,Rhode Island,A10,12,G,61,2.2,2.7,5.3,2.9,2.4,118.7,100.6,20.6,61.5,65.6,4.6,8.9,15,20.6,1,3,3.1,48.7,2.7,0.783,0.789,0.75,33.3,5.3,0.231
Jr,6-6,Nils Cooper,UC Davis,BW,8,G,65.7,2.2,2.9,1.6,1.2,0.4,105.2,104.4,23.5,61,62,3.7,14.2,13.5,20.3,0.7,1.3,3.3,45.5,2.7,0.757,0.629,0.641,16.9,3.1,0.308
Sr,6-5,Tramon Mark,Texas,SEC,11,G,61.9,2.2,2.8,4.9,3,1.8,116.5,100.7,19.7,53.5,56.4,3.8,8.4,15.2,14.7,1.7,2.6,1.9,37.6,2.6,0.76,0.688,0.681,44.7,7.9,0.237
So,6-3,All Wright,Xavier,BE,13,G,63.4,2.2,2.4,1.7,1.1,0.6,119.4,105.6,15.8,56.7,59.3,0.9,8.2,16.8,9.7,3.3,0.3,1.9,16.5,3.5,0.615,0.875,0.449,49.5,8.1,0.458
So,6-4,Trent Perry,UCLA,B10,11,G,49,2.2,2.1,2.9,2.5,0.4,117.1,105,21,58.2,61.3,2.7,8.7,17.5,16.7,1.6,0,1.5,50.7,3.2,0.6,0.706,0.6,40.3,6.8,0.37
Sr,6-8,Austin Green,UMass Lowell,AE,11,C,63.7,2.2,1.4,0.1,2.5,-2.4,108.1,116.9,25.8,61.1,59.8,11.3,17.4,6.9,16.1,0.7,1.1,1.8,74.7,2.7,0.658,0.535,0.611,0,0,0
Jr,6-5,Quion Williams,Arkansas Pine Bluff,SWAC,11,G,87.5,2.2,1.9,1.2,2.1,-0.9,100.7,117.1,24.6,50,54.8,5.3,15.5,30.1,22.5,1.7,2.3,2.7,39.2,3,0.651,0.765,0.52,21.5,3.9,0.286
So,6-4,Tey Barbour,Harvard,Ivy,11,G,81.2,2.2,2.5,0.3,1.5,-1.1,116.4,110.6,17.4,59.3,63.1,2.3,20,9,15.9,0.9,1.1,1.4,29.7,2.5,0.688,0.852,0.577,71.4,11.2,0.4
Jr,6-8,KyeRon Lindsay-Martin,UAB,Amer,11,C,55.4,2.2,2.3,1.1,1.9,-0.8,120.5,103,20.6,53.8,58,17.2,15.3,2.2,13.3,0.2,5.1,1.8,38.5,3.9,0.63,0.767,0.538,0,0,0
Sr,6-8,N.J. Benson,DePaul,BE,12,C,56.7,2.2,2.6,5.3,4.2,1.1,119.8,99.4,20.8,72.2,67.6,11.4,21.9,12.7,16,0.9,5,0.2,55.7,2.5,0.769,0.477,0.731,1.3,0.2,0
Sr,6-4,Lamar Washington,Georgia Tech,ACC,10,G,59.6,2.2,3.4,2,0.7,1.2,109.9,99.4,22.3,47.6,53.6,3,13.6,37.9,19.8,2.6,0.4,2.5,43.5,3.6,0.441,0.784,0.435,27.1,4.4,0.391
