YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Sr,6-1,Jalen Crutcher,Dayton,A10,118,G,84.7,3.6,3.3,3.2,3,0.1,109.6,100.8,22.6,53.9,57.1,1.3,10.3,27,18.7,2.1,0.4,1.6,27.1,2.1,0.606,0.769,0.514,52.4,9.4,0.375
So,6-3,Semaj Christon,Xavier,BE,64,G,85,3.5,3.6,3.5,2.3,1.2,101.6,97.5,28.2,47.9,52.5,1.1,8.2,28.5,19.3,1.4,0.6,2.5,53.7,2.7,0.563,0.67,0.476,9.8,2.1,0.338
Jr,6-1,Malachi Flynn,San Diego St.,MWC,92,G,81.6,3.4,3.2,4.1,3.4,0.7,109.2,101.2,23.6,51.7,55.8,1.9,10.6,24.6,15.5,2.1,0.2,2.4,26,2.2,0.622,0.832,0.489,54.6,11,0.36
Sr,6-5,Jarron Cumberland,Cincinnati,Amer,133,G,67.1,3.4,3.7,6.6,4.2,2.4,108.9,91.9,26.2,49.6,54.3,4.3,10.8,23.2,18,1.4,1.7,2.3,44.2,3,0.592,0.73,0.469,46.8,10.3,0.352
Sr,6-3,Jeremiah Martin,Memphis,Amer,124,G,67.1,3.4,3.5,6,3.4,2.6,109.2,98.3,22.4,50.3,55.8,2.9,9.1,23.2,17.2,1.8,2.1,3.4,49.6,2.6,0.61,0.745,0.513,38.5,6.9,0.325
So,6-5,Nickeil Alexander-Walker,Virginia Tech,ACC,67,G,73.1,3.3,3.9,6.4,3.6,2.8,107.9,92.9,24.1,54.9,58.2,2.6,13.5,18.7,18.4,1.2,2.4,2.8,30.4,2.5,0.601,0.763,0.529,44.8,9,0.383
Fr,6-4,Cason Wallace,Kentucky,SEC,32,G,74.9,3.3,3.8,7,3.1,3.9,112.1,94.8,20.3,51.6,54.3,3.3,10.3,24.4,19.3,2,1.6,3.7,22.4,3,0.712,0.757,0.514,40.7,7.4,0.346
Sr,6-5,Lamar Patterson,Pittsburgh,ACC,149,G,50.9,3.3,3.2,8.3,5.4,2.9,111.3,92.9,22.6,51.3,54.9,5.9,14.1,24.3,19.2,1.8,1.4,2.6,35.6,3.1,0.642,0.723,0.483,42.2,8.1,0.369
Sr,6-1,Tim Frazier,Penn St.,B10,135,G,63.5,3.3,3.4,4.3,2.2,2.1,102.5,97,25.5,44.9,51.7,3.3,12.3,35.6,22.2,1.8,0.6,3,49,3.3,0.556,0.774,0.445,19.7,3.6,0.31
Fr,6-5,Isaiah Collier,USC,P12,27,G,60,3.3,2.9,3.5,3,0.5,102.9,101.8,30.2,53.3,56.7,2.5,8.7,31.1,21.1,1.3,0.8,2.9,49.7,3.2,0.617,0.673,0.543,25.5,5.7,0.338
Sr,6-0,Jose Alvarado,Georgia Tech,ACC,105,G,75.4,3.3,4.1,4.5,2,2.5,106.8,94.8,21,52.2,56.1,2.1,10,21.4,18.1,1.6,0.2,3.5,32,2.9,0.624,0.79,0.532,45.8,8,0.341
Jr,6-2,Saben Lee,Vanderbilt,SEC,96,G,76.3,3.3,2.8,2.8,2.4,0.4,105.3,102.5,25.5,51.7,56.7,2.1,10.5,27.8,20.1,1.4,0.7,2.4,56.6,2.7,0.582,0.718,0.527,28.3,5.2,0.328
Sr,6-7,Michael Gbinije,Syracuse,ACC,120,G,55.8,3.3,4,6.4,3.3,3.1,109.4,92.6,21.2,54.3,56.1,3.7,10.2,22.2,18.2,1.7,1.3,3.1,36,3.4,0.632,0.639,0.511,45.7,8.2,0.387
Jr,6-1,Aaron Holiday,UCLA,P12,101,G,78.5,3.2,3.1,3.2,2.5,0.8,107.1,101.5,23.9,53.5,58,1.7,8.7,25.5,22.1,1.6,0.7,2.2,36.4,3.4,0.57,0.795,0.469,40.4,7.3,0.422
Sr,6-2,Xavier Moon,Morehead St.,OVC,63,G,71.9,3.2,2.3,3.8,3.6,0.1,119.9,108,20,54,56.6,1.6,10.7,19.9,13.6,2.1,0.7,2,25.7,3,0.575,0.835,0.475,43.7,8.5,0.416
Sr,6-5,Ethan Thompson,Oregon St.,P12,126,G,83.7,3.2,3.2,2.7,2.5,0.2,105.8,101.2,23.2,48.5,54.3,3.3,11.6,23.7,18.6,1.6,1.2,1.8,44.4,2.9,0.571,0.776,0.475,38.2,6.9,0.334
Sr,6-3,Jeremy Lin,Harvard,Ivy,84,G,80.4,3.2,2.8,4.6,3.1,1.5,105.5,101.5,27.1,54.6,58.5,3.4,15,29.5,22.2,1.3,2.4,4.1,48.5,3.7,0.671,0.716,0.558,31.1,6.1,0.348
Sr,6-3,Ryan Arcidiacono,Villanova,BE,143,G,78.9,3.2,3.8,4.6,2.7,1.9,112.2,94,19.2,50.2,55.4,1.2,7,22.8,16.8,2.3,0.1,2.2,37.6,2.5,0.571,0.801,0.452,59.2,9.4,0.358
Sr,6-5,Andrew Nembhard,Gonzaga,WCC,131,G,79.7,3.2,3.9,4.5,2.4,2.1,112.2,93.2,18.6,51.5,54.5,0.8,9.2,28.4,18.9,2.8,0.3,2.2,22,2.2,0.625,0.79,0.515,40.2,6,0.343
Jr,6-4,Jason Preston,Ohio,MAC,78,G,75.7,3.1,3.3,3.6,2.5,1.1,108.1,100.9,21.6,53.8,56.3,2.7,16.3,33.3,20.2,2.4,0.4,1.9,26.2,1.4,0.599,0.705,0.54,27.6,4.5,0.354
So,6-4,Isaiah Whitehead,Seton Hall,BE,56,G,65.4,3.1,3.8,6.4,4.4,1.9,98.4,93.7,30.4,45.2,50,2.6,10.5,31.6,21.3,1.3,3.7,2.4,33.7,3.1,0.455,0.757,0.387,42.9,10.9,0.359
Sr,6-7,Cody Martin,Nevada,MWC,122,G,62.4,3.1,3.6,5.4,2.6,2.8,113.1,96.7,19,53.1,55.9,5.4,12,22.4,17.4,2.2,3,2.6,36.6,3.1,0.707,0.689,0.54,17.8,2.6,0.325
So,6-6,Edmond Sumner,Xavier,BE,58,G,35,3.1,3.4,5.8,2.9,2.9,106.1,95.5,24.1,46.8,53.6,2.2,12.4,27.5,19.6,1.7,1.7,2.5,62,3.4,0.549,0.73,0.483,27.2,4.8,0.285
Sr,6-3,Dru Smith,Missouri,SEC,105,G,64,3,3.6,5.7,2.4,3.4,108.4,94.4,21.5,52.7,58.3,2.4,10.9,27.7,21.5,1.7,1.5,3.4,39.4,4,0.625,0.866,0.506,35.4,5.7,0.377
Sr,6-4,Jerome Dyson,Connecticut,BE,82,G,59.8,3,3.7,3.8,1.9,1.9,100.5,91.6,27.3,44.7,50.5,4.1,9.5,22.5,20.8,1.1,1.6,3.1,45.1,3.3,0.568,0.741,0.436,29.5,6.7,0.315
Jr,6-3,Jordan Bone,Tennessee,SEC,94,G,58.4,3,2.9,3.9,3.1,0.7,109.5,98.2,21.3,47.8,51.9,1.6,8.4,30.3,16.4,2.7,0.3,1.5,23.4,1.9,0.542,0.815,0.452,32.5,6,0.355
Sr,6-6,Roy Devyn Marble,Iowa,B10,135,G,67.7,3,3.1,5.3,3.7,1.6,105.7,95.8,24.1,46.3,51.4,3.6,10.2,22,15.3,1.7,0.9,2.8,42.6,2.3,0.64,0.726,0.447,28.8,6.1,0.336
Jr,6-3,Armon Johnson,Nevada,WAC,97,G,80.7,3,2.7,1.7,2.5,-0.8,104.8,102.8,25,48.9,52.7,2.9,9.5,27.2,19.5,1.6,0.7,1.5,32.2,2.1,0.667,0.757,0.506,21,4.3,0.283
Fr,6-9,Scottie Barnes,Florida St.,ACC,24,G,58.9,3,3,7.2,4.1,3.1,107.5,92,25.3,53.1,54.8,7.4,11,31.6,22.4,1.7,2.1,3.4,33.8,3.5,0.685,0.621,0.561,20.5,3.9,0.275
Sr,6-2,London Perrantes,Virginia,ACC,138,G,77.4,3,4.3,6.3,3.2,3.1,112.6,90.2,17.8,51.2,55.2,1.2,9.3,24.9,18.2,2.8,0.4,1.8,28.2,1.6,0.512,0.812,0.4,52.6,7.7,0.409
Sr,6-6,Kyle Collinsworth,BYU,WCC,136,G,75.2,3,3.7,6.3,3.8,2.5,106.9,94.3,23.7,48.8,52.6,7.7,18.4,29.4,20.1,1.8,1.4,2.8,53.6,2.8,0.643,0.64,0.494,7.9,1.3,0.273
Sr,6-4,Andy Rautins,Syracuse,BE,71,G,73.9,2.9,3.7,6.4,3.7,2.7,110.6,91.2,18.5,56.6,58.9,1.7,9.6,20.7,23.6,1.6,0.7,3,20.7,2.8,0.583,0.79,0.509,82.6,13.1,0.386
Sr,6-2,Jonathan Gibson,New Mexico St.,WAC,98,G,73,2.9,2.2,2.6,2.9,-0.4,111.2,104.7,21.6,54.7,57.5,1.7,6.7,14,16.6,1.1,0.2,2.3,22.9,3,0.486,0.762,0.481,54,11.3,0.402
So,6-4,Dion Waiters,Syracuse,BE,70,G,50.1,2.9,2.8,8,4.2,3.8,113,88.7,23.8,51.4,55,2.5,8.2,19.8,14,1.8,1.2,4.4,30.2,3.2,0.613,0.758,0.509,36,8.3,0.349
So,5-11,Courtney Fortson,Arkansas,SEC,47,G,61.8,2.8,3.2,1.4,2.2,-0.7,93.7,98.5,31.9,44.1,49,5.3,12.9,36.4,24.8,1.3,0.4,2.1,45.2,3.2,0.472,0.677,0.431,28.5,6.4,0.311
Sr,6-4,Brad Wanamaker,Pittsburgh,BE,131,G,54.9,2.8,3.4,6.5,3,3.5,105.7,89.9,22,47.7,53.4,4.8,14.1,27.7,23.3,1.8,1.1,2.6,53,3.6,0.594,0.719,0.465,23.9,3.8,0.342
Sr,6-1,Keith Appling,Michigan St.,B10,140,G,72.8,2.8,3.8,4.1,1.6,2.5,105,91.2,20.8,48.7,53.9,1.9,9.8,21.2,20.9,1.6,1.7,2.2,43.9,3.3,0.608,0.747,0.483,36.3,6,0.329
Fr,6-5,Tony Wroten,Washington,P12,35,G,75.3,2.8,3.4,4,2.3,1.7,95.7,93.7,32.1,45.3,48.8,8,9.8,24.5,21.8,1,1.2,3.5,59.1,3.5,0.578,0.583,0.483,12.5,3,0.161
Jr,6-3,Elfrid Payton,Louisiana,SB,95,G,78.2,2.8,3.1,4.3,2.7,1.6,100.2,100,27.4,49.5,52.7,5.2,13,31.7,22.3,1.4,1.6,3.5,63.4,2.9,0.659,0.602,0.507,11.2,2.1,0.27
Sr,6-6,Billy Garrett Jr.,DePaul,BE,125,G,70.8,2.7,2.3,0.8,1.7,-0.9,103.5,106.3,25.7,44.5,53.7,1.2,10,25.3,19.9,1.4,0.8,1.8,57.3,3.8,0.556,0.842,0.423,36.4,7,0.323
So,6-6,Andrew Harrison,Kentucky,SEC,79,G,70.9,2.6,3.6,3.8,2,1.8,106.6,92,21.8,43,51.7,2.4,8.1,24.8,21.3,1.8,0.8,1.7,61.5,3.4,0.529,0.777,0.374,31.5,5.1,0.367
Jr,6-4,Xavier Rathan-Mayes,Florida St.,ACC,100,G,74.4,2.6,3.2,2.6,2.3,0.3,103.3,98.8,24,48.7,51.9,2,9.8,28.3,19.9,1.8,0.1,1.9,37,2.8,0.668,0.666,0.521,42.6,8.1,0.294
Sr,6-3,Matt Mooney,Texas Tech,B12,128,G,67.6,2.6,3.7,5.3,2.9,2.5,104.5,94.6,25.6,52,54,1.8,11.8,18.3,17.5,1.2,0.5,3.5,26.4,2.5,0.623,0.77,0.495,40.8,9.3,0.372
Sr,5-9,Casper Ware,Long Beach St.,BW,125,G,81.6,2.5,3,1.6,1.4,0.2,101.6,100.7,24.2,46.9,52.6,1.6,7.2,25.4,20.6,1.4,0.4,2.6,40.5,2.8,0.58,0.78,0.432,41.7,8.2,0.348
Fr,6-9,Egor Demin,BYU,B12,33,G,62,2.5,3.2,4.7,3,1.6,102.5,98.1,25.8,48,50.9,1.3,14.8,34.6,24.2,1.9,1.7,2.5,26.8,1.8,0.674,0.695,0.553,50.3,9.9,0.273
Sr,6-2,Ahmad Caver,Old Dominion,CUSA,136,G,76.6,2.5,4,3.6,1.5,2.1,103.5,95.9,22.7,45.6,48.7,1.6,10.3,29.9,15.8,2.5,1,2.7,32.5,2.2,0.506,0.652,0.417,47.3,9.4,0.332
Sr,6-3,Gabe Vincent,UC Santa Barbara,BW,108,G,65.7,2.5,2.5,2.5,2.1,0.4,107.8,105.4,22,50.1,52.5,1.9,8.2,17.6,12.7,1.9,0.5,2,22.6,3.7,0.588,0.773,0.444,53.1,11.6,0.367
So,6-7,Jordan Hall,Saint Joseph's,A10,50,G,83.3,2.4,3.2,2.1,1.3,0.8,97.7,100.3,24.9,47.5,50,2.9,17.7,35.1,22.2,1.8,0.4,2.1,19.1,2.8,0.51,0.748,0.417,48.3,9.5,0.358
Fr,6-2,Brandon Williams,Arizona,P12,26,G,56.7,2.4,3.1,3.3,1.6,1.7,105.4,97.1,22.9,45.5,52.7,0.8,11.1,23.7,16.1,1.9,0.8,1.7,45.5,2.8,0.57,0.819,0.436,49.4,9.1,0.316
Jr,6-7,Tony Snell,New Mexico,MWC,102,G,61.3,2.3,2.9,4.8,3.6,1.3,107.9,94.9,19.3,53.4,57.3,2,9,18.2,18.9,1.4,1.7,1.2,27.2,1.9,0.571,0.824,0.477,59.1,10.3,0.383
Fr,6-2,Marquis Teague,Kentucky,SEC,40,G,81.4,2.3,3.8,1.2,0.7,0.6,99.8,92.9,21,44.9,49.1,1.6,6.7,25.5,23.8,1.8,0.8,1.7,33.8,2.8,0.555,0.714,0.438,22.7,3.7,0.325
Sr,6-9,Kobe Sanders,Nevada,MWC,129,G,59.5,2.3,2.3,0.9,1.1,-0.1,101,107.5,24.4,48.8,54.7,2.6,10.8,23,18.5,1.5,1.2,1.9,40.9,3.6,0.596,0.794,0.488,38,7.3,0.325
Sr,6-1,Will Cherry,Montana,BSky,110,G,70.2,2.2,3.6,3.4,0.8,2.6,101.6,93.3,26,47.6,53,2.4,11.4,23.6,18.4,1.4,1,4.4,49,2.8,0.572,0.721,0.493,31.2,6.2,0.294
Sr,6-3,Pat Spencer,Northwestern,B10,31,G,72.6,2.2,2.8,1.2,0.8,0.5,96.4,99.8,23.8,45.7,50.6,2.7,12.9,29.2,19.4,1.7,0.9,1.6,28.9,2.8,0.604,0.815,0.48,18.2,3.4,0.235
Fr,6-3,JD Davison,Alabama,SEC,33,G,64.3,2.2,2.7,4.2,3,1.2,102.6,97.4,20.7,52.1,55.8,4.5,15.1,29.4,29.2,1.5,1.4,2.1,37.9,1.9,0.625,0.728,0.565,38.8,5.3,0.301
Sr,6-5,DeJon Jarreau,Houston,Amer,122,G,53.7,2.1,3.2,4.5,1.8,2.7,99.8,90.2,26.4,46.8,51.7,3.2,16.6,33.3,24.9,1.5,2.7,2.2,44.6,4.1,0.579,0.713,0.483,27.3,5.2,0.285
Sr,6-3,Tarik Phillip,West Virginia,B12,106,G,49,2,3.1,6.8,2.4,4.5,107.3,87.4,20.3,48.8,54.4,3.3,10.4,20.1,21,1.5,1.5,4.1,57.5,3.9,0.538,0.714,0.451,35.8,5.6,0.37
Sr,6-3,Walt Lemon Jr.,Bradley,MVC,129,G,75,1.8,2.9,0.8,0,0.7,92.6,100.4,27.4,47.8,51.8,1.4,11.3,22.7,23.1,0.9,1.3,3.4,35.2,3.5,0.64,0.72,0.476,22.9,5,0.322
Sr,6-4,Diante Garrett,Iowa St.,B12,126,G,75,1.8,3.2,0.7,-0.2,0.8,94.2,96.9,23.9,44.7,48.5,1.2,9,32.1,23.1,1.7,0.5,2.3,30.7,2.1,0.727,0.724,0.449,26.7,4.8,0.293
Sr,6-4,Damion Baugh,TCU,B12,117,G,60.8,1.6,3.8,3,0,3,94.1,88.9,19.8,46.8,50.1,2.6,13.4,26.2,27.1,1.6,1,2.7,34.9,2.5,0.582,0.664,0.478,28.8,4.1,0.295
Sr,6-0,Ishmael Smith,Wake Forest,ACC,89,G,72.7,1.5,3.5,1.9,0.7,1.2,93.6,94,21,44.6,45.3,2.3,10.5,30,23.5,1.8,0.8,2.3,22,2.2,0.547,0.495,0.454,18.1,3.1,0.273
Sr,6-3,Dwight Buycks,Marquette,BE,68,G,61.7,1.4,2.8,2.2,0.9,1.4,99.1,95.6,18.8,50.5,52.9,3.6,10.5,20.1,24.7,1.4,0.2,2.5,26.3,2.5,0.679,0.687,0.486,34.2,5.1,0.36
Fr,6-2,Trae Young,Oklahoma,B12,32,G,87.5,7,3.6,10.1,9.4,0.8,112.1,100.3,38.4,51.9,58.6,1.3,9.9,48.3,20,1.7,0.7,2.5,44.4,2,0.522,0.861,0.493,53,15.1,0.361
So,6-0,Trey Burke,Michigan,B10,71,G,89,5.8,3.9,9.3,7.2,2.1,114.4,94.2,28,52,55.8,2,9.3,33.5,15.8,2.4,1.5,2.2,30.4,2,0.658,0.78,0.498,37.4,8.8,0.371
Fr,6-1,Sharife Cooper,Auburn,SEC,12,G,36.4,5.7,3.4,3.1,4.1,-1,107.5,97.5,34.4,42.7,51.9,2.2,11.3,51.9,19.9,1.9,0.7,1.6,56,3.2,0.495,0.825,0.465,31,7.8,0.228
So,6-3,Ja Morant,Murray St.,OVC,61,G,84.5,5.3,3.8,7.7,6.2,1.5,116.9,99.1,29.8,53.1,58.6,5.3,14.1,42.7,20.5,2.2,1.8,2.1,49.7,2,0.606,0.809,0.538,29.8,6.1,0.342
Sr,5-10,Pierre Jackson,Baylor,B12,73,G,81.9,5.2,3.6,8.9,7.3,1.6,113.1,94.7,28.4,52.9,58.2,2.8,8.5,39.8,22,1.9,0.1,3,41.3,2.8,0.596,0.808,0.496,47,10.1,0.378
Sr,6-1,Bryce Cotton,Providence,BE,130,G,80,5.1,3,5.8,5.6,0.2,118.5,102.9,21.7,51.2,57.1,1.8,7.8,20.4,12.4,1.9,0.3,1.6,39,1.5,0.577,0.837,0.482,50.7,10.3,0.361
Sr,6-1,Cassius Winston,Michigan St.,B10,139,G,71.1,5.1,3.6,8,6.5,1.5,117.8,93.9,26.7,55.3,60.1,1,8.7,42.7,20.9,2.4,0.3,1.8,34.9,2.8,0.543,0.847,0.484,42.8,8.8,0.43
So,5-9,Tyler Ulis,Kentucky,SEC,72,G,71.6,4.9,3.9,9,6.1,2.8,123.8,92.1,20.3,49.9,56.3,1.9,6.8,31.4,15.2,3.6,0.3,2.4,39,2.2,0.54,0.846,0.462,39,6.5,0.371
Sr,6-5,Jerian Grant,Notre Dame,ACC,119,G,76.5,4.8,3.5,6.2,4.9,1.4,114.4,98.5,23.9,50.6,56.3,1.4,7.9,31.9,16.4,2.7,0.9,2.6,44.3,2,0.647,0.79,0.498,40.7,7.6,0.345
So,6-1,Jawun Evans,Oklahoma St.,B12,53,G,58.9,4.8,3.1,7.2,6,1.2,113.3,99.3,30.5,48.8,55,2.4,12.4,43.3,17.8,2.1,0.6,2.9,39.5,3.2,0.511,0.814,0.458,19.8,4.9,0.406
Sr,6-2,Jaylen Adams,St. Bonaventure,A10,110,G,77.3,4.6,3.4,5.7,4.9,0.8,116.8,102,24.2,53.5,60.7,1.7,8.8,29.6,18.8,1.9,0.7,2.5,55,2.9,0.539,0.838,0.467,55,9.9,0.394
Sr,6-6,Greivis Vasquez,Maryland,ACC,101,G,87.5,4.6,4,7.3,5.8,1.5,106.6,93.5,28.3,48.7,53.5,3.3,12.4,34.3,20.1,1.7,0.9,2.4,29.1,2.5,0.578,0.835,0.481,39.5,9.5,0.331
Sr,6-4,Matthew Dellavedova,Saint Mary's,WCC,130,G,91.8,4.6,3.4,4.9,4.7,0.1,117.4,99.6,22.2,51.4,57.3,2.8,8.3,28.6,18.9,2.2,0.2,1.8,38.1,2.1,0.543,0.857,0.451,53.3,9.4,0.379
Jr,5-9,Kahlil Felder,Oakland,Horz,97,G,89.4,4.5,2.6,3.7,4.1,-0.4,110.1,108.5,28.4,48.4,54.8,2.1,11.8,43.1,19.9,2.3,0.6,2.5,48.5,3.2,0.564,0.822,0.467,31.8,6.5,0.347
Fr,6-4,John Wall,Kentucky,SEC,37,G,83.9,4.4,4.5,7.7,4.8,2.9,108.7,88.8,26.9,50.3,56.2,2.7,10.1,34.8,24.2,1.6,1.5,2.9,53,2.2,0.637,0.754,0.509,26,5,0.325
Sr,6-0,Isaiah Stevens,Colorado St.,MWC,147,G,79.7,4.4,3.3,4.3,4.2,0.1,112.5,100.8,24.8,52.9,57.4,1.7,9.8,32.8,16,2.5,0.5,1.7,27.3,1.9,0.595,0.854,0.497,34.4,6.9,0.394
Sr,6-2,Devonte' Graham,Kansas,B12,141,G,74.9,4.4,4,7.2,4.7,2.5,117,94.7,20.2,53.4,57.7,1.7,8.9,23.7,17.1,2.3,0.3,2.5,35.9,2.1,0.545,0.786,0.436,55.9,9.1,0.408
So,6-2,Cameron Payne,Murray St.,OVC,65,G,81.6,4.3,2.9,6.9,6,0.9,113.7,102.6,30.5,50.7,54.9,1.6,10.7,37,17.1,2,1.6,3,32.1,3,0.56,0.79,0.482,44.1,11.7,0.359
Fr,6-2,Tyler Ennis,Syracuse,ACC,34,G,88.7,4.3,4.6,8,4.5,3.5,114.5,92.6,22.7,45.3,51.1,2.6,9,32.5,13.8,3.2,0.7,3.9,41.4,2.3,0.553,0.765,0.429,23.6,4.6,0.353
Sr,6-2,Kevin Pangos,Gonzaga,WCC,139,G,83.4,4.2,3.8,6.7,4.7,2,122.7,94.7,19,55.6,59.9,1.3,8.2,20.3,15,2.5,0.1,2.3,33.9,2.3,0.524,0.844,0.457,59.6,10,0.415
Jr,6-3,Scotty Pippen Jr.,Vanderbilt,SEC,90,G,76,4.2,3.1,4.4,3.8,0.6,103.8,99.1,31.3,47.6,54.7,2.7,8.8,31.1,19,1.3,0.6,2.9,59.2,3.4,0.552,0.763,0.454,36.3,8.3,0.343
Jr,5-11,Jared Harper,Auburn,SEC,105,G,72.8,4.1,3,5.3,4.8,0.5,114.7,100.6,23.7,48.4,55.2,1.2,7.6,30,16.3,2.4,0.2,2.2,52,2.4,0.497,0.792,0.414,57.2,10.5,0.358
So,5-11,Tremont Waters,LSU,SEC,66,G,78.2,4,3.6,6.7,4.6,2,108.8,97.4,27,50.2,55.1,1.1,9.7,33.8,20.8,1.9,0.3,4.3,34.1,2.6,0.54,0.807,0.495,46.8,10,0.34
Sr,6-0,McKinley Wright IV,Colorado,P12,131,G,81.6,4,3.9,6,4,1.9,110.1,94.4,25,51.4,56,4.1,13,33.3,20,1.9,1,1.9,33.9,2,0.574,0.803,0.522,28.3,5.5,0.329
Sr,6-0,Russ Smith,Louisville,Amer,133,G,52.5,3.8,4,8.5,4.4,4.1,105.4,83.4,31.6,47.3,52.8,3.4,9.1,25,18.2,1.2,0.3,4.7,42.9,4,0.591,0.76,0.449,34.7,9.5,0.345
Sr,6-0,Fred VanVleet,Wichita St.,MVC,139,G,65.5,3.8,3.8,9.2,5,4.2,118.1,89.7,22.1,49.1,55,2.8,11.7,34.4,15.6,3.2,0.4,3.7,41.9,2.3,0.545,0.805,0.445,33.7,6,0.388
Sr,5-9,Jacob Gilyard,Richmond,A10,153,G,91.3,3.8,3.8,5.6,3,2.6,114.1,98.9,19.6,54.4,57.9,1.5,7.9,25.5,14.8,2.8,0.3,4.7,26.5,1.7,0.618,0.82,0.547,58.6,9.4,0.361
Sr,6-1,Chris Wright,Georgetown,BE,110,G,65.3,3.8,3.5,4,3,1,108.8,94.8,22.9,52,56.1,1.6,9.1,26.1,20.1,1.7,0.5,2.5,38.1,2.6,0.597,0.748,0.526,36.1,6.6,0.34
Sr,6-5,Denzel Valentine,Michigan St.,B10,143,G,69.9,3.7,3.9,8.4,5.5,2.9,111.6,90.5,22.7,54.3,56.9,4.7,18.4,29.6,20.9,2,1.1,1.9,22.3,2.9,0.619,0.779,0.476,49.8,9.6,0.408
Fr,6-0,Kennedy Chandler,Tennessee,SEC,34,G,74.3,3.6,4.4,8,3.8,4.3,106.1,86.3,25.2,52.7,53.9,2.5,9.7,32.4,18.8,1.9,0.9,4.1,25.3,2.6,0.598,0.606,0.504,32.7,7.1,0.383
Sr,6-2,Jevon Carter,West Virginia,B12,144,G,74,3.6,4.3,8.9,4.4,4.6,113.4,88.3,20.6,49.1,53.4,3.1,11.6,24,16.8,2.1,1,4.4,29.8,3.3,0.509,0.798,0.453,47.1,8.9,0.355
So,6-3,Wade Baldwin IV,Vanderbilt,SEC,67,G,73.5,3.5,3.6,6.1,3.5,2.6,112.5,93.7,23.2,50.6,57.6,1.9,13,32.4,20.1,2.1,0.7,2.7,54,3.4,0.541,0.802,0.432,36.9,6,0.422
Sr,6-3,Tyler Kolek,Marquette,BE,120,G,73.5,3.5,3.6,5.5,3.6,1.9,110,96,22.6,51.7,55.3,2.2,12.9,34.4,19.7,2.5,0.5,2.8,24.7,2.1,0.557,0.819,0.503,45.6,7.7,0.356
Sr,6-1,Jordan McLaughlin,USC,P12,128,G,76.9,3.5,3.4,5,3.6,1.4,111.6,99.7,22,50.9,54.6,2.2,9.5,31.3,18.4,2.4,0.5,2.9,33,1.2,0.551,0.738,0.474,37.4,6.5,0.379
Fr,6-3,Nico Mannion,Arizona,P12,32,G,80.2,3.4,3.9,4.3,3,1.3,105.1,92.2,24.8,46.6,52.1,0.9,7.8,31.5,18.2,2.1,0,2.1,36.1,2.1,0.541,0.797,0.447,44,8.9,0.327
Sr,6-1,Jamal Shead,Houston,B12,137,G,64.8,3.4,4.4,7.3,3.1,4.1,110.3,86.9,22.6,46.3,50.3,2.3,9.2,33.7,18.2,2.8,1.4,3.6,22.7,2.8,0.62,0.772,0.472,35.8,7,0.297
Jr,6-3,Isaiah Taylor,Texas,B12,92,G,68.9,3.4,3.5,3.6,2.2,1.4,105.2,96.3,26.3,42.2,50,1.3,9.7,31.5,16.7,2.1,0.4,1.9,49,3.2,0.509,0.792,0.42,11.8,2.6,0.292
Sr,5-8,Markquis Nowell,Kansas St.,B12,127,G,66.8,3.4,3.6,4.3,3.1,1.2,102.9,97.2,26.9,48.1,54.7,1.6,10.1,35.8,22.2,1.8,0.1,3.7,34,2.6,0.498,0.87,0.427,52.6,10.7,0.353
Sr,6-0,Ryan Nembhard,Gonzaga,WCC,133,G,81.4,3.3,4,3.6,2.1,1.5,109.6,97.1,21,49.3,52.6,1.2,9.7,30.7,19.2,2.8,0.2,2,25.2,2.1,0.559,0.784,0.477,34.7,5.7,0.348
So,6-6,Michael Carter-Williams,Syracuse,BE,66,G,54.2,3.2,4.7,8.5,3.7,4.8,104.2,83,23.5,44.5,49.3,4,11.2,39.3,23.4,2.3,1.9,4.8,46,2.8,0.589,0.679,0.439,30.5,5,0.304
Sr,6-2,RayJ Dennis,Baylor,B12,159,G,71.4,3.1,2.8,2.6,2.2,0.3,109.2,101.8,22.6,51.9,55.1,2.2,12.4,27,18.2,2.1,0.4,2,25,2.6,0.639,0.749,0.539,31.6,6,0.318
Sr,6-1,T.J. McConnell,Arizona,P12,137,G,79,3.1,4.3,8.2,3.5,4.7,114.3,88.1,18.5,54.7,56.9,2.5,11.6,31.8,20,2.7,0.6,4.3,21.1,2.3,0.664,0.749,0.539,32.2,4.8,0.376
Sr,6-2,Justin Robinson,Virginia Tech,ACC,125,G,65.1,3.1,3,3.9,2.8,1.1,110.5,99.7,22.7,52.4,58.2,2.3,8.6,29.1,20.6,2,0.4,2.1,53.7,2.9,0.542,0.772,0.487,41.3,6.4,0.385
Jr,6-4,Kris Dunn,Providence,BE,95,G,53.4,3.1,4.3,7.5,3.1,4.4,100.5,89.1,26.2,48.8,53.1,3.9,14.8,40.3,24.2,1.7,1.4,4.1,44.6,3.7,0.588,0.693,0.476,21.8,4,0.354
Sr,6-1,Scott Machado,Iona,MAAC,132,G,77.6,3,3,3.8,2.8,1,105.1,98.8,25.8,47.9,53.4,3,11.5,40.4,23.9,2.1,0.4,2.7,47.4,3,0.52,0.74,0.466,29.2,5,0.342
