YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Fr,6-4,Austin Rivers,Duke,ACC,34,G,82.4,3.4,3.3,3.1,2.8,0.3,104.8,97.2,24,50.5,53.8,2.2,9.2,13,17,0.9,0.1,1.7,45.8,2.7,0.582,0.658,0.477,39.6,8.2,0.365
Sr,6-7,Caris LeVert,Michigan,B10,101,G,46.7,3.4,3.4,5.8,3.6,2.2,109.3,97,22.4,50.8,55,1.9,14.7,20.3,14.2,2.1,0.9,2.3,31.2,2.3,0.681,0.769,0.452,39.4,7.7,0.396
Sr,6-6,Joe Harris,Virginia,ACC,135,G,75.3,3.3,3.8,6.8,4.5,2.4,110,91.1,22.6,54.8,57.7,3.7,11.9,14.6,15.1,1.2,1.4,1.9,32.1,3,0.586,0.722,0.484,50.6,10.3,0.407
Sr,6-5,Austin Reaves,Oklahoma,B12,122,G,58.6,3.3,3.1,5,3.7,1.3,111,95.7,23,50.3,57.1,2.4,14.3,20.1,17.4,1.5,1.3,1.6,43.4,2.4,0.604,0.844,0.487,47.3,8.6,0.347
So,6-5,Elliot Williams,Memphis,CUSA,68,G,59.6,3.3,2.9,4,3.5,0.5,107.5,95.8,23.6,52.1,57.3,3.7,10.8,18.5,19,1.1,0.3,2.3,56.1,3,0.645,0.719,0.524,38.8,6.9,0.345
Sr,6-5,Marcus Georges-Hunt,Georgia Tech,ACC,130,G,76,3.3,3.3,5,3.2,1.7,109.4,97.4,23.1,47.9,53.6,5.6,11.2,14.9,14.5,1.3,0.7,1.8,47.3,3.1,0.602,0.749,0.474,28.2,5.6,0.329
So,6-1,Terry Rozier,Louisville,ACC,73,G,66.9,3.3,4.4,7.8,3.8,4,109.5,85.1,23.8,46.3,50.7,4,13.8,18.6,12.5,2,0.4,3.4,29.7,2.4,0.535,0.772,0.447,33.7,7.7,0.331
Sr,6-2,Alijah Martin,Florida,SEC,153,G,60.3,3.3,3.4,6.1,4.3,1.8,115.1,95.7,21.6,54,57.8,5.4,14.5,10.5,14,1.1,1,2.8,26.2,2.6,0.603,0.754,0.536,55.6,11.6,0.363
Sr,6-4,Caleb Love,Arizona,B12,174,G,81.5,3.3,3.8,3.6,2.6,1,103.7,96,25.1,46,50.7,1.3,11.1,18.9,16.5,1.4,0.9,1.9,26.1,1.9,0.537,0.835,0.432,49.3,11.7,0.326
Jr,6-5,Wendell Moore Jr.,Duke,ACC,88,G,68.1,3.2,3.4,4.3,2.7,1.5,109.6,94.7,20.4,51.2,55.7,5.2,13,18.2,20,1.7,0.7,2.3,31.9,2.7,0.606,0.814,0.502,29.6,4.9,0.358
So,6-4,Ryan Rollins,Toledo,MAC,63,G,77.4,3.2,3.2,3.1,2.1,0.9,107.4,98.2,26.5,50.3,54.3,3,15.3,17.9,15.7,1.4,0.7,2.5,30.7,3.3,0.617,0.801,0.517,33.5,7.9,0.317
Jr,6-4,Javonte Smart,LSU,SEC,93,G,79.8,3.2,3.1,2.9,2.6,0.3,106.8,100.7,20.7,49,52.6,1.5,9.8,18.5,18.1,1.6,0.4,2.1,21,2,0.565,0.836,0.463,42.6,8.1,0.352
Sr,6-3,Bryn Forbes,Michigan St.,B10,133,G,71.3,3.2,2.6,4.1,4.2,-0.2,118.7,102.6,18.7,57.4,60.9,1.8,8,8.7,13,1.2,0.2,1.4,27.4,2.2,0.538,0.83,0.46,59.3,11.3,0.435
Jr,6-4,Trey Alexander,Creighton,BE,107,G,78.8,3.2,3.9,4.3,1.8,2.5,106.8,94,22,50.8,54.9,1.5,13.6,19,16.4,1.7,1.1,1.7,28.8,2.3,0.533,0.822,0.491,36.8,7,0.358
Jr,6-3,Khyri Thomas,Creighton,BE,100,G,66.1,3.2,3.5,7.1,3.9,3.2,114.3,94.3,19.8,59.2,60.1,4.9,13.7,15.6,16.7,1.5,0.9,2.9,25.2,2.7,0.682,0.716,0.577,38.7,6.4,0.411
Jr,6-5,Jerome Robinson,Boston College,ACC,90,G,78.3,3.2,3.4,2.4,2,0.3,102.5,101.8,26.6,51.3,55.1,1.6,11,20.6,17.8,1.1,0.8,2.2,32.6,2.9,0.597,0.756,0.488,33.8,7.7,0.374
So,6-2,Tyson Etienne,Wichita St.,Amer,78,G,72.9,3.2,3.3,3.8,2.5,1.3,108.5,96.3,21.2,48.4,52,1.6,8.2,13.2,11.6,1.5,0.3,2.1,31.1,2.6,0.464,0.776,0.381,62.9,13.2,0.364
Fr,6-3,Frank Jackson,Duke,ACC,36,G,60.5,3.1,2.8,4,3.3,0.7,116.4,97.6,20.4,56.4,59.8,3.1,8.2,12.6,15.4,1.2,0.2,1.3,36.3,3.8,0.667,0.755,0.539,45.9,8.3,0.395
Fr,6-4,Jahmi'us Ramsey,Texas Tech,B12,27,G,66.8,3.1,4.1,5.7,3.8,1.9,102.8,88.9,24.7,53,54.4,3,12.3,16.1,15.2,1.1,2.5,2.5,23.2,2.8,0.525,0.641,0.451,42,9.8,0.426
Fr,6-4,Jaden Springer,Tennessee,SEC,25,G,60,3.1,3.5,5.8,3.1,2.7,106.1,88.6,26.2,51.1,57,4.6,10.9,24.1,20.6,1.2,2.2,2.7,44.1,3.1,0.658,0.81,0.475,20.3,4.1,0.435
Sr,6-3,Ian Clark,Belmont,OVC,130,G,70.8,3.1,2.9,5.6,4.7,0.9,115.5,97.6,21.9,60.2,62.3,2.1,9.3,15.6,18.6,1.2,0.8,2.5,19,3,0.658,0.817,0.562,56.7,12.1,0.421
Jr,6-3,Nick Johnson,Arizona,P12,108,G,76.6,3.1,4.1,6.4,3.1,3.3,107.3,89.6,22,49,53.5,2.4,11.3,18.8,16.6,1.6,2,2.5,40,2.6,0.662,0.734,0.46,38.3,7.4,0.359
So,6-3,Nah'Shon Hyland,VCU,A10,55,G,61.4,3.1,3.4,6.5,4.4,2.1,107.6,90.9,25.2,55.7,58.8,1.1,13.5,16.9,17.5,1.1,1.1,2.9,22.2,3.5,0.615,0.827,0.5,58,13.5,0.399
Fr,6-4,Trevor Keels,Duke,ACC,36,G,69.5,3.1,3.2,3.5,2.8,0.7,110.2,96.9,20.1,49.6,52,3.3,9,14.6,12.1,2.1,0.2,2.3,27.6,1.7,0.613,0.67,0.522,49.3,9.3,0.312
Sr,6-3,Donald Sloan,Texas A&M,B12,101,G,76.9,3.1,3.4,3.9,3,0.9,104.1,94.6,23.4,46.8,51.9,2.1,11.3,20.3,17.5,1.4,0.2,1.2,42.3,1.9,0.651,0.743,0.453,28.2,5.6,0.338
Fr,6-3,Tyrese Maxey,Kentucky,SEC,31,G,85.4,3.1,3.9,3.4,1.9,1.5,104.7,94.2,22.1,47.4,53.1,1.4,12.1,18.3,16.6,1.4,1.3,1.5,34.2,2.8,0.651,0.833,0.492,32.2,6.2,0.292
Sr,6-4,Joe Chealey,Charleston,CAA,125,G,72.6,3,2.9,2.4,2.1,0.3,108,102.7,25.9,47.1,54.5,2,11.2,22.3,15,1.7,0.5,1.7,54.8,3.2,0.524,0.805,0.441,38.7,7.8,0.345
Sr,6-4,D'Moi Hodge,Missouri,SEC,90,G,67,3,2.9,6.3,4.3,2,114.7,98.4,21.6,56,57.6,3.1,11.8,10.7,11,1.4,2.6,4.6,21.3,3.6,0.673,0.726,0.601,57.7,12.9,0.354
Jr,6-6,Jalen Williams,Santa Clara,WCC,82,G,73.7,3,3.1,3.5,2.1,1.4,107.9,98.9,20.9,52.4,56.9,2,11.4,17.8,14.3,1.7,1.8,2.2,34.8,3.4,0.627,0.783,0.523,31.8,5.5,0.351
Sr,6-5,Alondes Williams,Wake Forest,ACC,90,G,57.3,3,3,3.3,2.1,1.2,103.6,94.6,25.6,52.8,55.6,4.4,13.5,21.9,18.7,1.2,1.1,1.8,32.3,3.1,0.648,0.699,0.577,29.1,5.9,0.271
