PLAYER_ID,PLAYER_NAME,SEASON,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,BENCH_PRESS,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,MODIFIED_LANE_AGILITY_TIME
201961,Wayne Ellington,2009,SG,76.25,6' 4.25'',77.25,6' 5.25'',202.4,78.5,6' 6.5'',100.0,8' 4'',5.5,,,13,31.5,38.0,11.14,3.2,
201936,Tyreke Evans,2009,PG-SG,76.0,6' 4'',77.25,6' 5.25'',220.6,83.25,6' 11.25'',104.0,8' 8'',7.1,,,7,28.5,34.0,11.81,3.17,
201938,Jonny Flynn,2009,PG,71.25,5' 11.25'',72.75,6' 0.75'',195.6,76.0,6' 4'',95.5,7' 11.5'',6.3,,,10,33.0,40.0,10.86,3.23,
201959,Taj Gibson,2009,PF,80.5,6' 8.5'',81.75,6' 9.75'',214.4,88.0,7' 4'',109.0,9' 1'',6.6,,,12,25.5,30.0,11.56,3.41,
201980,Danny Green,2009,SG-SF,77.25,6' 5.25'',78.5,6' 6.5'',208,82.0,6' 10'',103.0,8' 7'',5.6,,,15,29.0,33.0,11.3,3.3,
201933,Blake Griffin,2009,PF,80.5,6' 8.5'',82.0,6' 10'',248.4,83.25,6' 11.25'',105.0,8' 9'',8.2,,,22,32.0,35.5,10.95,3.28,
201946,Tyler Hansbrough,2009,PF,80.25,6' 8.25'',81.5,6' 9.5'',234.2,83.5,6' 11.5'',106.0,8' 10'',8.5,,,18,27.5,34.0,11.12,3.27,
201935,James Harden,2009,SG,76.0,6' 4'',77.25,6' 5.25'',222,82.75,6' 10.75'',103.5,8' 7.5'',10.1,,,17,31.5,37.0,11.1,3.13,
201945,Gerald Henderson,2009,SG-SF,76.0,6' 4'',77.0,6' 5'',214.6,82.25,6' 10.25'',102.5,8' 6.5'',4.4,,,8,31.5,35.0,11.17,3.14,
12278,Josh Heytvelt,2009,PF-C,82.0,6' 10'',83.0,6' 11'',246.2,85.25,7' 1.25'',108.0,9' 0'',10.8,,,15,28.5,34.0,11.67,3.38,
201941,Jordan Hill,2009,PF-C,81.25,6' 9.25'',82.25,6' 10.25'',232.4,85.5,7' 1.5'',108.0,9' 0'',6.0,,,11,31.0,35.0,12.23,3.3,
201950,Jrue Holiday,2009,PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',199,79.0,6' 7'',100.5,8' 4.5'',6.3,,,6,28.5,34.0,10.64,3.21,
12279,Joe Ingles,2009,SF,79.75,6' 7.75'',80.25,6' 8.25'',209.2,82.25,6' 10.25'',105.0,8' 9'',10.1,,,3,26.0,31.0,10.66,3.3,
201949,James Johnson,2009,SF-PF,79.0,6' 7'',79.75,6' 7.75'',257.2,84.75,7' 0.75'',105.5,8' 9.5'',12.0,,,18,30.5,35.0,11.21,3.23,
201951,Ty Lawson,2009,PG,71.25,5' 11.25'',72.5,6' 0.5'',196.6,72.75,6' 0.75'',94.5,7' 10.5'',6.6,,,14,29.0,36.5,10.98,3.12,
201953,Eric Maynor,2009,PG,74.25,6' 2.25'',75.25,6' 3.25'',163.6,74.5,6' 2.5'',97.0,8' 1'',5.4,,,8,28.5,31.5,10.78,3.19,
12282,Jack McClinton,2009,SG-PG,71.75,5' 11.75'',72.75,6' 0.75'',185.2,74.5,6' 2.5'',96.0,8' 0'',6.2,,,13,30.0,36.5,10.44,3.21,
12283,Jerel McNeal,2009,SG,73.5,6' 1.5'',75.0,6' 3'',190.4,79.25,6' 7.25'',99.5,8' 3.5'',5.4,,,10,31.5,36.5,10.61,3.25,
201975,Jodie Meeks,2009,SG,75.0,6' 3'',76.0,6' 4'',211.4,76.5,6' 4.5'',98.0,8' 2'',8.0,,,14,28.5,37.0,10.96,3.1,
201988,Patty Mills,2009,PG,71.25,5' 11.25'',72.5,6' 0.5'',175.4,74.0,6' 2'',95.0,7' 11'',6.9,,,8,27.5,33.0,10.87,3.1,
201957,Byron Mullens,2009,C,83.75,6' 11.75'',85.25,7' 1.25'',258.2,85.5,7' 1.5'',111.0,9' 3'',8.5,,,10,28.5,32.5,11.1,3.45,
201985,A.J. Price,2009,PG,72.5,6' 0.5'',74.0,6' 2'',192.8,75.75,6' 3.75'',97.0,8' 1'',12.4,,,11,26.0,31.0,10.99,3.22,
12284,Tyler Smith,2009,SF,77.25,6' 5.25'',78.0,6' 6'',212,81.75,6' 9.75'',104.5,8' 8.5'',7.0,,,10,29.0,33.5,10.69,3.24,
201969,DaJuan Summers,2009,SF,79.25,6' 7.25'',80.5,6' 8.5'',243,84.75,7' 0.75'',106.5,8' 10.5'',6.6,,,15,29.5,34.5,10.94,3.17,
201966,Jermaine Taylor,2009,SG,75.5,6' 3.5'',76.75,6' 4.75'',207.4,80.75,6' 8.75'',101.0,8' 5'',5.8,,,16,34.0,37.5,11.54,3.32,
201952,Jeff Teague,2009,PG,72.25,6' 0.25'',73.5,6' 1.5'',175.2,79.5,6' 7.5'',98.5,8' 2.5'',4.5,,,13,30.5,36.5,11.05,3.18,
201934,Hasheem Thabeet,2009,C,85.25,7' 1.25'',86.5,7' 2.5'',267.2,90.25,7' 6.25'',113.0,9' 5'',6.7,,,,,,,,
201977,Marcus Thornton,2009,SG,74.75,6' 2.75'',75.75,6' 3.75'',194.4,77.0,6' 5'',99.0,8' 3'',4.8,,,14,31.0,33.0,10.73,3.28,
201944,Terrence Williams,2009,SG-SF,77.0,6' 5'',78.25,6' 6.25'',213.2,81.0,6' 9'',103.5,8' 7.5'',5.1,,,9,30.5,37.0,11.15,3.18,
201970,Sam Young,2009,SF-SG,77.25,6' 5.25'',78.75,6' 6.75'',222.8,82.75,6' 10.75'',105.5,8' 9.5'',4.9,,,,27.5,33.0,11.47,3.45,
202374,Solomon Alabi,2010,C,83.5,6' 11.5'',84.75,7' 0.75'',237.4,89.0,7' 5'',113.0,9' 5'',5.0,9.25,9.25,10,22.5,26.0,13.2,3.68,
