Player_lower,Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,RimFG%,RimAst%,MidFG%,MidAst%,ThreeFG%,ThreeAst%,DunkFG%,DunkAst%
chris singleton,Chris Singleton,107,72,40,64,113,20,70,143,58,39,8,23,59.77653631284916,27.2108843537415,36.15819209039548,23.809523809523807,32.863849765258216,45.3125,82.97872340425532,37.096774193548384
christian braun,Christian Braun,173,124,76,46,84,7,131,217,100,35,2,20,58.24915824915825,30.522088353413658,35.38461538461539,13.20754716981132,37.64367816091954,43.290043290043286,94.5945945945946,36.36363636363637
christian koloko,Christian Koloko,210,86,166,52,91,27,0,5,0,130,13,114,70.94594594594594,44.148936170212764,36.36363636363637,34.177215189873415,0.0,0.0,90.9090909090909,46.72131147540984
chuma okeke,Chuma Okeke,143,72,74,28,69,8,88,138,80,36,5,19,66.51162790697674,34.10138248847927,28.865979381443296,22.22222222222222,38.93805309734513,47.61904761904761,87.8048780487805,34.54545454545455
cj elleby,CJ Elleby,147,107,43,91,192,19,127,219,93,29,6,15,57.874015748031496,22.63157894736842,32.15547703180212,17.272727272727273,36.70520231213873,42.27272727272727,82.85714285714286,34.090909090909086
cleanthony early,Cleanthony Early,171,63,115,83,140,49,111,207,105,40,6,33,73.07692307692307,40.20979020979021,37.219730941704036,37.121212121212125,34.90566037735849,48.61111111111111,86.95652173913044,45.20547945205479
coby white,Coby White,66,33,12,40,72,6,82,151,59,5,1,2,66.66666666666666,15.384615384615385,35.714285714285715,13.043478260869565,35.1931330472103,41.843971631205676,83.33333333333334,28.57142857142857
cody martin,Cody Martin,256,106,88,143,234,38,52,108,35,44,3,23,70.71823204419888,25.581395348837212,37.93103448275862,20.994475138121548,32.5,40.229885057471265,93.61702127659575,34.32835820895522
cody williams,Cody Williams,67,24,29,23,39,5,17,24,15,15,5,11,73.62637362637363,30.208333333333332,37.096774193548384,17.857142857142858,41.46341463414634,46.875,75.0,42.30769230769231
cody zeller,Cody Zeller,312,156,183,87,119,35,0,2,0,116,6,91,66.66666666666666,36.96969696969697,42.23300970873786,28.688524590163933,0.0,0.0,95.08196721311475,43.96135265700483
colby jones,Colby Jones,199,131,93,115,124,30,75,143,65,26,5,19,60.303030303030305,31.84931506849315,48.11715481171548,20.689655172413794,34.403669724770644,46.42857142857143,83.87096774193549,42.22222222222222
cole aldrich,Cole Aldrich,92,34,65,57,82,35,0,0,0,32,1,25,73.01587301587301,41.40127388535032,41.007194244604314,38.04347826086957,0.0,0.0,96.96969696969697,43.859649122807014
cole anthony,Cole Anthony,37,32,3,45,90,2,49,92,28,3,0,1,53.62318840579711,7.5,33.33333333333333,4.25531914893617,34.751773049645394,36.36363636363637,100.0,25.0
collin murray-boyles,Collin Murray-Boyles,257,116,145,49,73,25,9,30,9,49,8,39,68.90080428954424,36.069651741293534,40.16393442622951,33.78378378378378,23.076923076923077,50.0,85.96491228070175,44.31818181818182
collin sexton,Collin Sexton,103,79,24,49,75,3,44,87,14,5,3,4,56.59340659340659,18.89763779527559,39.516129032258064,5.769230769230769,33.587786259541986,24.137931034482758,62.5,44.44444444444444
