Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,player_lower
Derik Queen,156,75,67,47,86,9,7,28,7,39,4,25,117,71,188,0.6223404255319149,0.358974358974359,231,0.6753246753246753,0.42948717948717946,133,0.3533834586466165,0.19148936170212766,364,0.5576923076923077,0.37438423645320196,35,0.2,1.0,0.3952380952380952,399,0.5789473684210527,0.3333333333333333,0.08771929824561403,0.9122807017543859,derik queen
Derrick Caracter,85,38,48,59,64,30,4,11,4,11,0,10,74,38,112,0.6607142857142857,0.5135135135135135,123,0.6910569105691057,0.5647058823529412,123,0.4796747967479675,0.5084745762711864,246,0.5853658536585366,0.5416666666666666,15,0.26666666666666666,1.0,0.5540540540540541,261,0.47126436781609193,0.47126436781609193,0.05747126436781609,0.9425287356321839,derrick caracter
Derrick Favors,137,38,75,40,72,26,0,1,0,53,3,37,84,35,119,0.7058823529411765,0.4523809523809524,175,0.7828571428571428,0.5474452554744526,112,0.35714285714285715,0.65,287,0.6167247386759582,0.5706214689265536,1,0.0,,0.5706214689265536,288,0.6076388888888888,0.3888888888888889,0.003472222222222222,0.9965277777777778,derrick favors
Derrick Jones Jr.,96,34,57,12,20,6,8,37,7,37,6,27,59,28,87,0.6781609195402298,0.5084745762711864,130,0.7384615384615385,0.59375,32,0.375,0.5,162,0.6666666666666666,0.5833333333333334,45,0.17777777777777778,0.875,0.603448275862069,207,0.6280193236714976,0.15458937198067632,0.21739130434782608,0.782608695652174,derrick jones jr.
Derrick Walton Jr.,105,87,17,91,197,16,230,345,165,0,1,0,105,86,191,0.5497382198952879,0.1619047619047619,192,0.546875,0.1619047619047619,288,0.3159722222222222,0.17582417582417584,480,0.4083333333333333,0.1683673469387755,575,0.4,0.717391304347826,0.4647887323943662,1055,0.1819905213270142,0.2729857819905213,0.5450236966824644,0.4549763033175355,derrick walton jr.
Derrick White,96,46,16,51,64,14,57,85,35,7,0,2,89,46,135,0.6592592592592592,0.15730337078651685,142,0.676056338028169,0.16666666666666666,115,0.4434782608695652,0.27450980392156865,257,0.5719844357976653,0.20408163265306123,142,0.4014084507042254,0.6140350877192983,0.31862745098039214,399,0.3558897243107769,0.2882205513784461,0.3558897243107769,0.6441102756892231,derrick white
Derrick Williams,448,175,266,105,207,47,85,117,81,123,7,99,325,168,493,0.6592292089249493,0.5138461538461538,623,0.7191011235955056,0.59375,312,0.33653846153846156,0.44761904761904764,935,0.5914438502673797,0.566003616636528,202,0.4207920792079208,0.9529411764705882,0.6175548589341693,1137,0.5479331574318381,0.27440633245382584,0.17766051011433598,0.8223394898856641,derrick williams
Desmond Bane,291,143,136,104,199,48,241,317,198,24,0,19,267,143,410,0.651219512195122,0.43820224719101125,434,0.6705069124423964,0.46735395189003437,303,0.3432343234323432,0.46153846153846156,737,0.5359565807327001,0.46582278481012657,558,0.43189964157706096,0.8215767634854771,0.60062893081761,1295,0.33513513513513515,0.23397683397683397,0.4308880308880309,0.5691119691119692,desmond bane
Devaughn Akoon-Purcell,50,39,18,38,61,4,30,60,21,10,1,9,40,38,78,0.5128205128205128,0.225,89,0.5617977528089888,0.36,99,0.3838383838383838,0.10526315789473684,188,0.46808510638297873,0.25,90,0.3333333333333333,0.7,0.3644067796610169,278,0.32014388489208634,0.35611510791366907,0.3237410071942446,0.6762589928057554,devaughn akoon-purcell
Devin Booker,343,160,234,157,304,76,80,141,79,143,19,112,200,141,341,0.5865102639296188,0.61,503,0.6819085487077535,0.6822157434402333,461,0.3405639913232104,0.4840764331210191,964,0.5186721991701245,0.62,221,0.36199095022624433,0.9875,0.6706896551724137,1185,0.42447257383966247,0.3890295358649789,0.18649789029535865,0.8135021097046413,devin booker
Devin Cannady,135,102,25,72,106,11,261,390,216,11,1,4,124,101,225,0.5511111111111111,0.1693548387096774,237,0.569620253164557,0.18518518518518517,178,0.4044943820224719,0.1527777777777778,415,0.4987951807228916,0.17391304347826086,651,0.4009216589861751,0.8275862068965517,0.5384615384615384,1066,0.2223264540337711,0.1669793621013133,0.6106941838649156,0.3893058161350844,devin cannady
Devin Carter,353,220,116,135,262,16,326,551,259,74,6,39,279,214,493,0.565922920892495,0.27598566308243727,573,0.6160558464223386,0.3286118980169972,397,0.34005037783375314,0.11851851851851852,970,0.5030927835051546,0.27049180327868855,877,0.3717217787913341,0.7944785276073619,0.48034398034398035,1847,0.31023280996210073,0.2149431510557661,0.4748240389821332,0.5251759610178668,devin carter
